landmark_id,x,y,z,visibility
0,0.4558560252189636,0.22806280851364136,-0.9652311205863953,0.9999099969863892
1,0.49419769644737244,0.19463467597961426,-0.8974277377128601,0.9998853206634521
2,0.5161464810371399,0.19338715076446533,-0.8977911472320557,0.999929666519165
3,0.5323023200035095,0.1930227279663086,-0.8982452750205994,0.9998770952224731
4,0.4211500883102417,0.19959020614624023,-0.9093493223190308,0.9997900128364563
5,0.4025517702102661,0.20064294338226318,-0.9093790650367737,0.9998219609260559
6,0.387154757976532,0.20141249895095825,-0.909904420375824,0.9996874332427979
7,0.5625488758087158,0.2019970417022705,-0.3960415720939636,0.999933123588562
8,0.37078341841697693,0.21321344375610352,-0.4465407133102417,0.999935507774353
9,0.5061638355255127,0.25987493991851807,-0.7623756527900696,0.9998940229415894
10,0.4234483242034912,0.26166456937789917,-0.777172327041626,0.9998985528945923
11,0.6802878975868225,0.35008952021598816,0.1042332574725151,0.9998602867126465
12,0.28940436244010925,0.3674984574317932,-0.26400768756866455,0.9994331002235413
13,0.7497089505195618,0.5520057082176208,-0.10876722633838654,0.9705528020858765
14,0.3279433250427246,0.5847653746604919,-0.5447694659233093,0.981198251247406
15,0.7999809980392456,0.36915159225463867,-0.7449288368225098,0.9869844913482666
16,0.6143225431442261,0.5724872350692749,-0.9598410129547119,0.9655543565750122
17,0.8524097800254822,0.32496902346611023,-0.8649532198905945,0.9749453067779541
18,0.7002812623977661,0.5796743035316467,-1.0414657592773438,0.9157444834709167
19,0.8627194166183472,0.3108377754688263,-0.8222920894622803,0.9749122262001038
20,0.7074915170669556,0.5470263957977295,-1.0087264776229858,0.9081099033355713
21,0.8366204500198364,0.32261502742767334,-0.7432406544685364,0.9731006026268005
22,0.688386082649231,0.5406761169433594,-0.940177857875824,0.8965145945549011
23,0.5717335343360901,0.7151825428009033,0.12682722508907318,0.9984537363052368
24,0.3561999797821045,0.7128294110298157,-0.12486017495393753,0.9964736104011536
25,0.6482048630714417,0.9714679718017578,-0.18204350769519806,0.5194907784461975
26,0.39149174094200134,0.9925958514213562,-0.253564715385437,0.5946812629699707
27,0.6032134294509888,1.2040441036224365,0.7023078799247742,0.04226980358362198
28,0.34354305267333984,1.1923011541366577,0.6668845415115356,0.03808918967843056
29,0.5849546194076538,1.231184720993042,0.7697622776031494,0.07018661499023438
30,0.32860466837882996,1.2168986797332764,0.7481255531311035,0.0544000044465065
31,0.6158592104911804,1.3025671243667603,0.33568692207336426,0.015759550034999847
32,0.35407042503356934,1.281522274017334,0.2853863835334778,0.02471320703625679
